Organization Name,Organization Name URL,Founded Date,Founded Date Precision,Full Description,Industries,Headquarters Location,Description,CB Rank (Company)
Logical Commander,https://www.crunchbase.com/organization/logical-commander-software-ltd,2018-03-04,day,"Logical Commander is an Israeli company dedicated to programming, developing, integrating, and merging different technologies, advanced algorithms, multiple sensors, and data sources from structured and unstructured sources, providing detection, monitoring, risk management, and security solutions. They continually innovate cutting-edge technology to stay ahead of threats and prevent them through their solutions. Logical Commander Software developed several state of the art solutions for the private and public sector, 2 of the main solutions are : Risk HR and EmoRisk. Risk HR: allows any organization to deal immediately with any suspect of risk or any known risk, without turning this solution into a real economic impact consideration, so you will focus only on your organization health, reducing, preventing, monitoring and locating inside risks in real time. EmoRisk: It is the 1st and only solution , based on the detection of daily emotions of employees when entering and leaving their workplace, providing a daily and monthly report, in addition to highlighting daily alerts or significant changes in the emotions and feelings of employees, allowing Organizations identify the factors that generate high levels of risk in employees, avoiding negative effects such as mental health problems, accidents or occupational diseases. Logical Commander aims to generate massive savings in annual loss costs for our clients.","Homeland Security, Human Resources, Information Technology, Risk Management, Security, Software","Tel Aviv, Tel Aviv, Israel","Logical Commander is a software company dedicated to program, innovate, develop, and integrate technologies with multiple sensors.","122,667"
Faception,https://www.crunchbase.com/organization/faception,2014-01-01,year,"Faception is a facial personality profiling company. Its breakthrough computer-vision and machine learning technology analyzes facial images and automatically reveals personalities in real-time. Backed by Social and Life Science research and proven results, its mission is to revolutionize how companies, organizations and even robots understand people to dramatically improve communications, decision-making, experiences and public safety. Founded in 2014, Faception is a private company, located in Tel Aviv Israel. Its team includes world-class experts in the areas of computer vision, face analysis, machine learning, psychology, technology and marketing.","Analytics, Computer Vision, Machine Learning, Personalization, Software","Tel Aviv, Tel Aviv, Israel",Faception is a facial personality profiling company.,"123,710"
Synergym.Ai,https://www.crunchbase.com/organization/synergym-ai,2022-03-01,month,"Synergym.Ai is a psychology-based AI platform that boosts exercise motivation and acts as a virtual sport psychologist. The company was founded in 2021 and is headquartered in Tel Aviv, Israel.","Artificial Intelligence (AI), Fitness, Psychology, Wellness","Ra'anana, HaMerkaz, Israel",Synergym.Ai is a psychology-based AI platform that boosts exercise motivation and acts as a virtual sport psychologist.,"124,087"
Dreame,https://www.crunchbase.com/organization/dreame,2014-02-14,day,"Dreame is an e-commerce platform touching on the trends of mass customisation and enabling us to turn their mind into art. Commission a Dreame artist, receive your masterpiece 10 days later to frame in your home, wear on a t-shirt or hold on your phone cover and express your unique self today.  Dreame is gradually developing other forms of co-creation with jewellery, 3-D artists, musicians and film makers. They will cater to the inner-workings of their minds with the talent of creatives around the world. The emotion a Dreame customer feels when they receive their creation is unique and profound. “This is the most thoughtful emotional gift I have ever received. I’m speechless.” (Nir, Director Operations, New York). Dreame is further differentiated by the insight their customers get about themselves. “I loved it. I learned a lot about myself in the process.” (Dan Ariely, Professor of Psychology).","Art, E-Commerce, Humanitarian, Internet","Tel Aviv, Tel Aviv, Israel",Dreame is a new genre of art and a unique gift for the holidays.,"125,040"
IonTerra,https://www.crunchbase.com/organization/hi-park,2013-10-01,month,"IonTerra is an automotive company that helps the ADAS and Autonomous Vehicle markets reach the highest level of safety and reliability. The company's diverse team of engineers share a unique experience in low computing power computer vision algorithms, object identification, as well as sizing and locating by using the sensor’s raw data to create a unified perception of the vehicle’s surroundings. IonTerra provides the innovation needed to transition Autonomous Driving from discord to commercial deployment, through advanced real-time Computer Vision solutions that enable a safer, smarter driver. The company's real-time rtCVI open-architecture platform is a proprietary patented technology that is analytical and accurate in providing perception, cognition, and fusion for ADAS and Autonomous cars. It removes limitations of other technologies such as Deep Learning, as required, in order to realize the Autonomous Vehicle’s commercial deployment. IonTerra was founded in 2013 and is headquartered in Petah Tiqva, HaMerkaz, Israel.","Automotive, Autonomous Vehicles, Big Data, Crowdsourcing, Information Technology, Location Based Services, Mapping Services, Real Time, Sensor","Petah Tiqva, HaMerkaz, Israel",IonTerra is an automotive company that helps the ADAS and Autonomous Vehicle markets reach the highest level of safety and reliability.,"128,439"
Keystone Heart,https://www.crunchbase.com/organization/keystone-heart,2004-01-01,year,"Keystone Heart aspires to be the world leader in embolic cerebral protection for cardiovascular procedures. To develop and manufacture cerebral protection devices, focused on protecting the brain from emboli to reduce the risk of brain infarcts during TAVR, AF ablation and other structural heart procedures.  Cerebral function is the essence of quality of life. Preserving brain reserve throughout medical procedures is a key component to procedural success and patient care.","Health Care, Health Diagnostics, Manufacturing, Medical","Herzliya, Tel Aviv, Israel","Medical Devices, Cerebral protection, Cardiovascular procedures, TAVR procedures, Embolic cerebral protection","131,700"
Cell Cure Neurosciences,https://www.crunchbase.com/organization/cell-cure-neurosciences,2005-01-01,year,"Cell Cure Neurosciences Ltd. (Cell Cure) is developing cell therapies for retinal and neural degenerative diseases. Its therapeutic programs include OpRegen™ for retinal disease, and the development of neural progenitor cells for degenerative neurological disorders.  Cell Cure’s pipeline of regenerative medicine therapies are derived from human embryonic stem cells (hESCs), pluripotent cells which are capable of morphing into all the cell types of the human body. Cell Cure is a majority-owned subsidiary of BioTime, Inc. and is the neurological arm for BioTime’s program for development of human embryonic stem cell-based therapies.  Additional shareholders include Teva Pharmaceuticals and Hadasit Bio-Holdings.  In October, 2010, Cell Cure entered into an exclusive license option agreement with Teva to develop and commercialize Cell Cure’s OpRegen™ product for the treatment of AMD.  Subject to the terms of the agreement, if Teva exercises its option to obtain an exclusive license to OpRegen™, Teva will have responsibility for funding clinical trials from that point on, obtaining regulatory approvals, and marketing the product.","Biotechnology, Health Care, Neuroscience, Therapeutics","Jerusalem, Yerushalayim, Israel","Cell Cure Neurosciences offers cell therapies for retinal and neural degenerative diseases, such as OpRegen™, a retinal therapeutic program.","134,972"
BWith AI,https://www.crunchbase.com/organization/bwith-ai,2022-04-01,day,"BWith helps large organizations working in hybrid mode by creating an accurate forecast of who will be in the office when. This way, employees see when people important to them will be in the office, helping them plan their week, meet people in person, and get the highest value out of coming to the office. At the same time, management receives continuous feedback indicating how the current hybrid policy (fully flexible / team days / company days) is affecting employee collaborations and growth.","Information Technology, Software","Benei Zion, HaMerkaz, Israel",The AI Brain for Your Hybrid Workplace,"135,493"
Kai.ai,https://www.crunchbase.com/organization/kai,2020-07-30,day,"Kai is an AI powered personal wellness companion on a mission to support millions of people on the journey to a happier and more fulfilled life. Created by an expert team of psychologists, engineers and content creators, the relationship with Kai develops as users learn scientifically-proven tools and techniques according to the Acceptance Commitment Therapy models (ACT) to become more mindful, and identify one's true values and life goals.  With Kai the conversation is an ongoing journey, just like life. The focus is on long-term progress, small steps everyday.","Artificial Intelligence (AI), Health Care, Mental Health, Messaging, Personal Health, Software","Tel Aviv, Tel Aviv, Israel","Your AI-mental health companion helping you on the journey to a happier, more fulfilled life.","138,313"
Timocco,https://www.crunchbase.com/organization/timocco,2009-01-01,year,"Timocco their platform is designed for children using motion-based technology, their games tracking software allows cognitive skills to improve in a fun, safe and non-violent gaming environment.","Children, EdTech, Education, Service Industry","Ramat Gan, Tel Aviv, Israel","Timocco Provides Online, Therapeutic Gaming Services.","138,601"
Vital,https://www.crunchbase.com/organization/vital-technologies,2015-02-01,day,"Vital is a biotechnology company that develops and markets rapid-recovery functional-beverage products for healthy individuals who undergo transient physiological and cognitive stress episodes. Vital develops CUUR products that are based on a patent-pending, microencapsulation technology platform, facilitating the delivery of ultra-dose, foul-tasting supplements in tasty, low-volume, functional beverages. The first line of CUUR products facilitate rapid recovery from alcohol.","Biotechnology, Food and Beverage, Information Technology, Life Science, Therapeutics","Netanya, HaMerkaz, Israel",Vital develops and markets rapid-recovery functional-beverage products for healthy individuals.,"148,452"
Conflu3nce,https://www.crunchbase.com/organization/conflu3nce,2016-04-07,day,"Conflu3nce is a health technology company dedicated to developing personalized, patient-sensitive screening tools. Its IP portfolio of 6 issued patents and additional patent-pending technologies operate at the nexus of human cognition, perception, and computer vision, leveraging human perception and Gestalt ground truths to reduce image complexity while enhancing visual attention for detecting nuanced ROIs by humans and machines. The company is currently developing LesionOptix - a suite of image enhancement tools with applications in dermatology, neurology and endoscopy. The companion Cyclops Intelligence system includes the compan'ys image enhancement tools but for use with non-medical images.","Computer Vision, Health Care, Health Diagnostics, Image Recognition, Medical Device","Jerusalem, Yerushalayim, Israel",Conflu3nce is a health and technology company focusing on developing a set of user-centric solutions that support health and well-being.,"154,166"
NeuroApplied,https://www.crunchbase.com/organization/neuroapplied,2016-06-01,day,"NeuroApplied offers customer-focused marketing based on the study of the customers’ collective subconscious.  The company applies machine-learning analytics, in combination with neural-networks computing, to online picture games in order to provide its clients with useful data collected from the associative subconscious of their customers. Its SaaS-based platform provides an intuitive dashboard for insights that is nonintrusive, and visually stimulating for respondents.  NeuroApplied was founded by Lior Moyal, Elhanan Meirovithz, and Inna Schneiderman in June 2016.","Advertising, Consumer, Market Research, Network Security, Neuroscience","Hadera, Hefa, Israel",NeuroApplied develops a platform for eliciting subconscious perception of brands by their consumers.,"161,813"
Anima.ey,https://www.crunchbase.com/organization/anima-ey,2017-01-01,year,"Anima is a unique AI-based short-screening solution for early detection of children suffering from sexual abuse. The tool will screen and identify experience of sexual abuse at an early stage, thus prevent further abuse and providing treatment. This in turn will reduce future mental and physical negative consequences of the abuse.",Artificial Intelligence (AI),"Tel Aviv, Tel Aviv, Israel",Anima is an AI tool aiming to provide professionals initial information concerning sexual abuse experience through self-figure drawings.,"185,967"
timbr.ai,https://www.crunchbase.com/organization/wpsemantix,2018-07-01,day,"Timbr.ai enables the fastest and most convenient implementation of enterprise knowledge graphs and data fabric without need of moving data or adding new infrastructure or skills. With timbr, organizations can make sense, access, and answer the most complex questions from large volumes of interrelated data stored in multiple locations, fast and with minimal effort. The platform brings about a new paradigm to the world of knowledge representation and cognitive computing by employing SQL to model and query knowledge graphs.  Timbr’s semantic graph technology provides relational databases with unique features including business modeling, relationships, virtual mappings to multiple data sources, semantic reasoning, data exploration as a graph, and advanced graph analytics and algorithms. All these features are made available for use by analysts directly from all popular business intelligence solutions, and for use by data scientists from common DS tools.","Analytics, Artificial Intelligence (AI), Business Intelligence, Data Integration, Data Management, Database, Information Technology, Knowledge Management, Predictive Analytics, Software","Tel Aviv, Tel Aviv, Israel",timbr's semantic graph data management platform transforms databases into knowledge graphs to democratize data access and consumption.,"188,583"
InnerEye,https://www.crunchbase.com/organization/innereye,2014-01-01,year,"InnerEye combines Human intelligence with Artificial intelligence.  Our breakthrough technology combines the skills and expertise of the human user, cutting edge neuro-technology and state of the art machine learning and signal processing algorithms. By capitalizing on the merging of human neural processing and deep artificial neural networks, InnerEye allows fast and accurate visual content review, real-time AI training and validation, and establishes a unique human-machine interface for connected user applications.","Artificial Intelligence (AI), Consumer Electronics, Information Technology, Internet of Things, Machine Learning","Herzliya, Tel Aviv, Israel",Combining Human Intelligence with Artificial Intelligence,"195,517"
NYX,https://www.crunchbase.com/organization/nyx-technologies,2016-08-01,day,"NYX develops Cognyx, a wearable device to help users improve their sleep and reduce stress. The device is a wearable brain-tech headset that stimulates and monitors the user's brain activity. The platform combines specially designed algorithms, software, and hardware to provide an accessible and engaging experience to the consumer. It designs the device to help users fall asleep faster, optimize sleep cycles, analyze their sleep, and wake with increased energy. Wearers can also use it during the day to enable users to get into a meditative mode for relaxation and stress reduction. It connects the Cognyx device to a companion app that it designs to make controlling Cognyx and understanding the users' sleep stats simple and fun. NYX is an alumnus of the 8200 Entrepreneurship Program.","Health Care, Information Technology, Medical Device, Software, Wearables","Haifa, Hefa, Israel","NYX develops Cognyx, a wearable device to help users improve their sleep and reduce stress.","196,129"
BalanSeat,https://www.crunchbase.com/organization/balanseat,2012-01-01,year,"Balanseat was developed by a team of entrepreneurs, scientists, physicians and engineers. Balanseat is a  Mopair Technologies Ltd. product MoPair Technologies Ltd. was founded by a Feldenkrais practitioner with many years of experience treating  neurologically impaired patients as Multiple Sclerosis (MS), Post-Stroke and Parkinson’s.","Biotechnology, Health Care, Neuroscience","Moshava, HaZafon, Israel", BalanSeat is a motor rehab device for the elderly & neurologically impaired.,"208,088"
Mad Brain Games,https://www.crunchbase.com/organization/brain-games-55f2,2019-01-01,year,"Mad Brain Games is a casual game company that develops free-to-play mobile games. The company is the developer of word farm adventure, a word scrabble puzzle game that is available in Apple and Google Play stores.","Casual Games, Gaming, Software","Tel Aviv-yafo, Tel Aviv, Israel",Mad Brain Games is a casual game company that develops free-to-play mobile games.,"213,145"
PainPal,https://www.crunchbase.com/organization/painpal-38eb,2019-01-01,day,"PainPal is a behavioral health platform tailored for people with chronic pain, that provides personalized, gamified, and on-demand Cognitive Behavioral Therapy (CBT-CP) treatment and counseling, proven to reduce pain and increase functioning.","Health Care, Wellness","Tel Aviv, Tel Aviv, Israel","PainPal is a telebehavioral health platform that provides personalized, gamified and on-demand behavioral and cognitive counseling.","229,449"
Onvego,https://www.crunchbase.com/organization/onvego,2015-01-01,year,"Onvego is a vibrant young company, with a goal to make speech and multimodality the leading interfaces of smart mobile apps and connected devices. Onvego provides solutions and a complete toolbox for enterprises and developers, for building speech-based conversational interfaces - quick and easy! The platform incorporates built-in natural language processing (NLP) and artificial intelligence (AI) technologies - but does not require developers to have an expertise in these fields. Onvego’s platform enables developers to seamlessly integrate cognitive speech-conversational interfaces into their products, in order to create user-friendly, voice-enabled natural language interfaces for their apps and IoT. In order to build such a complex system and make it work flawlessly, Onvego has intoduced a number of innovative ideas and algorithms (some of which are patent pending). The company’s management team and board of advisors bring decades of experience in AI, speech technologies, machine learning and multimodal interaction methods.","Artificial Intelligence (AI), Information Services, Information Technology","Yoqn`am, HaZafon, Israel","Onvego is a vibrant young company, with a goal to make speech and multimodality the leading interfaces of smart mobile apps.","244,307"
PrimeSense,https://www.crunchbase.com/organization/primesense,2005-05-05,day,"Prime Sense's concept is a device, which allows a computer to perceive the world in 3D and derive an understanding of the world based on sight, just the way humans do. On March 31, 2010, PrimeSense confirmed that it was the technology behind Microsoft's much-touted ""Project Natal"". The device includes a sensor, which sees a user (including their complete surroundings), and a digital component, or ""brain"" which learns and understands user movement within those surroundings.  Prime Sense's interactive device can see, track and react to user movements outside the computer, all without change of environment or wearable equipment for the end user. The closed device is plug and play and platform independent. The company envisages the following uses:  -Interact with video games by using body movement and gestures.  -Interact with digital devices using menus on a screen as opposed to mouse and keyboard -Improved video communication with for example virtual backgrounds and virtual drawing boards.","3D Technology, Computer Vision, Consumer Electronics, Hardware, Human Computer Interaction","Tel Aviv, Tel Aviv, Israel","PrimeSense offers an interactive device that can see, track and react to user movements outside the computer.","249,372"
GoodDeeds.AI,https://www.crunchbase.com/organization/gooddeeds,2023-01-01,year,"INTRO: An estimate of 15% of funds donated to nonprofits are wasted due to inefficiencies. This translates to $100B+ in yearly wasted donations in the U.S. alone. We want to help minimize this waste and increase philanthropy ROI by empowering nonprofits to access more relevant funding and deploy it more effectively. PROBLEM: Despite their best intentions, many NGO teams, particularly smaller ones, lack the resources and expertise to design and execute high-impact projects effectively. Teams with limited resources also often lack the ability to access relevant funding. These gaps usually lead to NGOs underperforming, important causes unfunded, and wasted billions of dollars in donor funds. SOLUTION: GoodDeeds utilize recent advancement in AI, along with the largely publicly-accessible data on NGOs and impact projects to provide NGO teams with the “ImpactCopilots” - suite of AI-powered virtual assistants, tailored to individual roles and tasks. These copilots help increase the team’s productivity and enhance their skills, thus expanding NGOs capacities, growth and impact. SOLUTION GoodDeeds utilize recent advancement in AI, along with the largely publicly-accessible data on NGOs and impact projects to provide NGO teams with the “ImpactCopilots” -  suite of AI-powered virtual assistants, tailored to individual roles and tasks. These copilots help increase the team’s productivity and enhance their skills, thus expanding NGOs capacities, growth and impact. TECHNOLOGY: We’re developing the “brain” of impact projects, with key capabilities of aggregating, structuring and analyzing impact data. Utilizing this analysis in the context of an NGO allows us to generate meaningful and personalized insights to the staff and also provide opportunities for collaboration across the sector. VISION: A prosperous world, where every organization, community and individual are empowered to expand and realize their full goodness potential.","Artificial Intelligence (AI), Social Impact, Software","Tel Aviv-yafo, Tel Aviv, Israel",GoodDeeds increases philanthropic ROI by empowering nonprofits to access more relevant funding and deploy it more effectively.,"270,733"
Brainvivo,https://www.crunchbase.com/organization/brainvivo,2016-06-01,day,"Rooted in decades of research and proprietary deep-neurotechnology, Brainvivo is the first company to digitize the human brain’s abilities and make them universally accessible. Brainvivo unlocks the sophisticated biological neural network of the human brain to expand people’s capabilities and automate tasks that require human judgment, emotional insight and intuition. With Brainvivo’s cutting edge emotional-AI platform, companies can extract human-level insights from data at scale and enrich their understanding of users. Brainvivo was founded by Assaf Horowitz and Yaniv Assaf in 2016.","Artificial Intelligence (AI), Machine Learning","Tel Aviv, Tel Aviv, Israel",Brainvivo is the first company to digitize the human brain’s abilities and make them universally accessible,"275,539"
QuantalX,https://www.crunchbase.com/organization/quantalx,2014-01-01,year,,"Biotechnology, Health Care, Medical Device","Kfar Saba, HaMerkaz, Israel","QuantalX is a company of neuro-scientists, determined to bring neuroscientific advancements and understanding to the clinic.","303,003"
Solo,https://www.crunchbase.com/organization/solo-2416,2018-01-01,year,,"Artificial Intelligence (AI), Health Care, Mental Health, Social Impact, Wellness","Zicron Jacob, Hefa, Israel",Solo develops an emotional wellbeing AI that helps the population improve mental health using facial biomarkers and emotion-based insights.,"307,578"
Psyable,https://www.crunchbase.com/organization/psyable,2022-01-01,year,"Psyable is an AI-powered cognitive alteration device that interfaces with your body and mind.   Through a unique, personalized experience, our device enables full utilization of one's inner self.","Artificial Intelligence (AI), Consumer Electronics, Health Care, Information Technology, Machine Learning, Marketplace, Software, Wellness","Tel Aviv, Tel Aviv, Israel",Transforming sci-fi to fact,"309,912"
SPHEREO,https://www.crunchbase.com/organization/sphereo,2018-01-01,day,An audio technology firm with a disruptive innovation in mind and soul. Our patented technology stems from extensive neuroscience research on signal processing and psycho-acoustics. SPHEREO provides a full spherical audio experience; limitless surround for anyone using any device and headphones with no hassle. We can make a plain 2-channel stereo sound like a real-life immersive experience.,"3D Technology, Audio, Augmented Reality, Broadcasting, Gaming, Information Technology, Media and Entertainment, Music, Software, Virtual Reality","Ramat Gan, Tel Aviv, Israel",Immersive sound experience on any device and on any headphones.,"315,206"
Amygdala,https://www.crunchbase.com/organization/amygdala,2022-01-01,year,"Amygdala is a brain-computer interface company revolutionizing the field of mental health treatment. Its innovative solution combines closed-loop BCI and VR technology to generate new and healthy connections in the brain, leading to more effective and measurable treatment outcomes for patients","Health Care, Information Technology, Medical, Mental Health, Psychology","Tel Aviv, Tel Aviv, Israel",Amygdala is a brain-computer interface company revolutionizing the field of mental health treatment.,"318,684"
Topicx Customer Experience Systems,https://www.crunchbase.com/organization/topicx-customer-experience-systems,2021-01-01,year,"We use Generative-AI to train a human-like bot to interview hundreds of customers within hours, to unlock emotional insights that forecast customers’ behavior","Artificial Intelligence (AI), Consumer Research, DIY, Enterprise Software, Information Services, Psychology","Tel Aviv, Tel Aviv, Israel","We use Generative-AI to train a human-like bot to interview customers, unlocking emotional insights that forecast customers’ behavior","330,878"
NeuroQuest,https://www.crunchbase.com/organization/neuroquest,2008-01-01,year,"NeuroQuest is developing a simple diagnostic blood test for at-risk populations. The test will serve as a surrogate to costly PET scans indicating the possible formation of brain plaques in the pre-clinical stage . BACKGROUND: Worldwide, nearly 47 million people have Alzheimer’s or a related dementia. ​In the United States, 5.3 million people are living with Alzheimer’s. Unless a cure is found, that number will rise to 16 million by 2050. Alzheimer’s is primarily diagnosed only after outward symptoms appear. ​To date, no cost-effective, accurate and practical tool exists to enable early diagnosis and treatment in the pre-clinical stage of Alzheimer’s when testing and/or therapeutic intervention may yield the greatest benefit.","Biopharma, Biotechnology, Developer Tools, Health Care","Misgav, HaZafon, Israel",Developing biomarkers for early diagnosis of Alzheimer’s disease,"344,808"
Epeius Pharma Ltd.,https://www.crunchbase.com/organization/epeius-pharma-ltd,2019-01-01,day,"Epeius pharma is a cell and gene therapy company that is developing next-generation biological vehicles for therapeutic protein delivery into the central nervous system. The blood-brain barrier, which tightly regulates the transport of molecules to the brain and blocks the transport of most large, charged, and hydrophilic molecules, which are common features of therapeutic agents, makes efficient and predictable therapeutics delivery particularly difficult in neurological diseases. Protein replacement therapy is limited by the lack of effective CNS delivery methods, and there is still an unmet need for neurological disorder treatment.","Biotechnology, Health Care, Medical, Neuroscience, Therapeutics","Ness Ziona, HaMerkaz, Israel",Epeius Pharma is a biotechnological health care company that delivers neurological disorders treatment through therapeutics.,"349,889"
VoiceSense,https://www.crunchbase.com/organization/voicesense,2006-01-01,year,"VoiceSense specializes in speech analytics. Their speech analysis technology offers an innovative biometric concept, based on the unique expertise of VoiceSense in the fields of signal processing, psychology and speech. They target the vast market of big data and business analytics and offer dedicated solutions for enterprise analytics, customer care, human resources, healthcare and interactive speech analytics.","Analytics, Call Center, Health Care, Human Resources, Software","Tel Aviv, Tel Aviv, Israel",VoiceSense specializes in speech analytics.,"355,228"
Head Habitat,https://www.crunchbase.com/organization/head-habitat,2021-01-01,year,"By analyzing the passively generated data on a user’s smartphone, we provide mental health therapists with actionable insights and treatment recommendations leading to improved patient outcomes and reduced therapy durations.","Artificial Intelligence (AI), Health Care, Health Insurance, InsurTech, Internet, Medical, Mental Health, Retail, Software","Tel Aviv, Tel Aviv, Israel","Accelerating The Transition To Data-Driven, Value-Based Mental Healthcare","355,720"
Ludus Technologies ltd,https://www.crunchbase.com/organization/ludus-materials,2014-03-03,day,"Ludus Materials, also known as Ludus Alliance, is an Ai sports company that merges the cognitive and physical domains by developing an Ai-based ecosystem that measures, trains, and creates a highly engaging sportive experience.","Fitness, Gaming, Media and Entertainment, Sports, Sports Leagues and Teams, Wellness","Rehovot, HaMerkaz, Israel",An Ai sports technology that enables measuring and training cognitive and athletic abilities,"355,892"
MTRE Advanced Technologies Ltd.,https://www.crunchbase.com/organization/mtre-advanced-technologies-ltd,1998-01-01,year,"MTRE develops, manufactures, and markets non-invasive solutions for body temperature management. It offers Allon system for controlling patients temperature throughout various stages of a surgery; and infant, pediatric, universal, and cardiac ThermoWrap, an integral part of the Allon system that covers patient in a suit-like matter, fastened with hook and loop strips. The company also provides CritiCool, a solution for induced hypothermia; CritiCool Pro, an integrated temperature management and patient monitoring system; CritiCool transportation kit; and neonate, pediatric, and adult CureWrap, a solution for therapeutic hypothermia. Its product lines target a range of medical applications and disciplines, including the applications of neuroprotective cooling therapy for cardiac arrest; and asphyxia and traumatic brain injury victims, as well as cardio-vascular, organ transplant, pediatric, neurosurgery, and trauma patients.","Manufacturing, Medical Device","Yavne, HaMerkaz, Israel",MTRE is a medical technology company.,"365,871"
Sanga,https://www.crunchbase.com/organization/sanga,2019-01-01,year,,"Apps, Fitness, Health Care, Mental Health, Therapeutics, Wellness","Tel Aviv-yafo, Tel Aviv, Israel","Sanga is a health and wellness app that offers customized content and activities for mental health, meditation, and therapy tasks.","372,556"
Lipogen,https://www.crunchbase.com/organization/lipogen,1992-01-01,day,"Lipogen is a biotechnology company that innovates and manufactures phospholipids. The company was the first to introduce phosphatidylserine (PS) globally and clinically test soy-lecithin-based PS. Lipogen raw ingredients, used as ingredients in a variety of products, have been shown safe and effective in extensive clinical research. Lipogen delivers high quality products at competitive prices. Patented Lipogen formulas have applications in cognitive function, stress management, enhancing well-being, women's health and improving quality of life.","Bioinformatics, Biopharma, Biotechnology, Genetics, Health Care","Haifa, Hefa, Israel",Lipogen is a biotechnology company that innovates and manufactures phospholipids.,"378,123"
Evature,https://www.crunchbase.com/organization/evature,2009-01-01,year,"Evature is developing an Expert Virtual Agent (EVA) technology utilizing cutting edge Natural Language Processing (NLP), Artificial Intelligence and machine learning.  EVA is a Virtual Travel Agent who understands customers travel requests (submitted in natural language) and acts upon them (deferring to a human agent when in doubt).  EVA has the potential to significantly reduce operating expenses and increase productivity of travel agencies and travel web sites.","Artificial Intelligence (AI), Big Data, Neuroscience, Search Engine, Semantic Web, Software, Travel","Ness Ziona, HaMerkaz, Israel",Evature develops an expert virtual agent that understands customers’ travel requests and acts upon them.,"380,652"
Medoc,https://www.crunchbase.com/organization/medoc,1990-01-01,year,"Medoc Ltd., established in 1990, is a leading developer and manufacturer of neuro-diagnostic medical systems used to assess and monitor acute and chronic pain. The company's products are based on technologies that test and evaluate the function of small and large peripheral sensory nerve fibers - an important added tool for the burgeoning pain management market.","Manufacturing, Neuroscience","Ramat Yishai, HaZafon, Israel",Advanced Pain-Monitoring Systems,"382,507"
ELEFense,https://www.crunchbase.com/organization/elefense,2022-02-01,day,"ELEFense computes company engagement, sentiment & keyword trends in real-time at a department level to reveal Enterprise Cultural Intelligence to manage employee burnout and much more. We can create a graph of employee and company health that indicates the effects of events and trends on cultural change.  This is done automatically & in real-time without using questionnaires or other traditional methods. ELEFense saves you from relying on opinions or voluntary contributions to make a management decision.  ""Brand Protection,"" ""Business Intelligence,"" ""Management, Corporate Wellness,"" ""ESG,"" ""HR,"" ""Mental Health,"" ""Reputation Management,"" ""Team Management,"" ""Employee Engagement","Consulting, Information Services, Information Technology, Marketing, Professional Services, Software","Tel Aviv, Tel Aviv, Israel",Quantifying corporate cultural wellness in real-time with no questionnaires and respecting privacy,"387,950"
CogMe,https://www.crunchbase.com/organization/cogme,2020-01-01,year,CogMe is a cognitive drop prevention digital health platform that focuses on delirium in an inpatient setting. CogMe was founded in 2020.,"Health Care, Medical Device, Personal Health, Wellness","Haifa, Hefa, Israel",CogMe is a cognitive drop prevention digital health platform that focuses on delirium in an inpatient setting.,"391,656"
Neurotech Solutions,https://www.crunchbase.com/organization/neurotech-solutions,2013-01-01,year,"Neurotech Solutions Ltd. is a start-up company that develops cutting edge Internet-based software technologies. Neurotech's efforts are focused on research, evaluation, and improvement of human cognition and behavior, with a special emphasis on Attention-Deficit/Hyperactivity Disorder (ADHD). Their goal is to support professionals worldwide to improve their patients’ everyday functioning, well-being, academic abilities and achievements.","Health Care, Information Technology, Internet, iOS, Medical, Software","Ness Ziona, HaMerkaz, Israel",Scientifically Proven Online ADHD Assessment Systems,"393,616"
Umoove,https://www.crunchbase.com/organization/umoove,2010-01-01,day,"Umoove created a face and eye-tracking solution that is compatible with any smartphone or tablet with a front facing camera. Umoove's technology does not require any additional hardware of any kind.  Umoove develops in-house medical applications and, at the same time, is powering eye tracking research in top universities across the world. Eye tracking is used as a method for diagnose and therapy of many neurological disorders such as ADHD, concussions, traumatic brain injury, Alzheimer's, autism, strokes and more.  Umoove's first product, uHealth, was released in early 2015 and can be found on the AppStore.  Outside of the mHealth space, Umoove shares it's SDK with qualifying third party developers in various markets such as gaming, automotive, analytics, advertising and wearable's.","Augmented Reality, Computer, iOS, mHealth, Software, Virtual Reality","Jerusalem, Yerushalayim, Israel",Face and eye-tracking for mobile,"399,075"
FlatWorld.co,https://www.crunchbase.com/organization/flatworld-co,2020-01-01,year,"FlatWorld makes any remote hiring a breeze. We deliver outstanding results with unbeatable time-to-hire by aggregating and orchestrating hundreds of recruiters under the hood. Our HireWise platform is agnostic to regions, verticals, and roles, aggregating and orchestrating a global network of hundreds of recruiters under the hood. HireWise delivers your talent team a daily/weekly shortlist of interview-ready vetted candidates. With our name-your-own bounty price model, you can enjoy the benefits of our platform at a fraction of the cost of an agency and at unprecedented speed. The TalentMatch platform is for companies hiring cross-border developers. On top of vetting for technical skills, we collect 150+ data points, including personality traits, soft skills, and work motivations. We use predictive algorithms and cutting-edge psychology research to predict performance and engagement over time in a remote work environment. FlatWorld is the perfect partner for all your remote hiring needs, They build FlatWorld.co with the engineering manager in mind, eliminating time wasted on the hiring process and focusing on getting you the best possible talent, and as quickly as possible.","Human Resources, SaaS, Software","Haifa, Hefa, Israel",Revolutionizing remote recruitment globally through an AI-driven marketplace connecting businesses to hundreds of top-tier recruiters.,"401,918"
